idacidente;longitude;latitude;data;hora;log1;log2;predial1;regiao;tipo_acid;tipo_veic;dia_sem;periododia;sit_vitima;sexo;idade;fx_et;fatais
703636;-51,21765798;-30,03944371;28/11/2022;19:20:00;AV JOAO PESSOA;R OCTAVIO CORREA;888;CENTRO;ABALROAMENTO;BICICLETA;SEGUNDA-FEIRA;NOITE;CONDUTOR;MASCULINO;47;46 A 59;0
681035;-51,21747558;-30,06002049;19/01/2021;21:30:00;R JOSE DE ALENCAR;;1391;SUL;COLISÃO;BICICLETA;TERÇA-FEIRA;NOITE;CONDUTOR;MASCULINO;24;18 A 25;0
731610;-51,11494341;-29,97306353;17/06/2023;14:55:00;AV ASSIS BRASIL;;11150;NORTE;COLISÃO;MOTOCICLETA;SÁBADO;TARDE;CONDUTOR;MASCULINO;22;18 A 25;0
716881;-51,20992912;-30,03640061;25/02/2023;12:00:00;AV OSVALDO ARANHA;;1279;CENTRO;QUEDA;MOTOCICLETA;SÁBADO;TARDE;CONDUTOR;MASCULINO;;NI;0
680359;-51,21691755;-30,14926741;28/03/2021;14:50:00;AV SERRARIA;;580;SUL;ABALROAMENTO;MOTOCICLETA;DOMINGO;TARDE;CONDUTOR;MASCULINO;42;36 A 45;0
691244;-51,18913129;-30,07041915;11/01/2022;13:50:00;AV CEL APARICIO BORGES;;2001;SUL;ABALROAMENTO;MOTOCICLETA;TERÇA-FEIRA;TARDE;CONDUTOR;MASCULINO;21;18 A 25;0
674342;-51,16736018;-30,00256594;11/08/2020;07:40:00;AV SERTORIO;;3774;NORTE;ATROPELAMENTO;;TERÇA-FEIRA;MANHÃ;PEDESTRE;FEMININO;42;36 A 45;0
667868;-51,2238943;-30,0662384;28/11/2019;07:00:00;R CLEVELAND;R CORREA LIMA;0;SUL;ABALROAMENTO;BICICLETA;QUINTA-FEIRA;MANHÃ;CONDUTOR;MASCULINO;33;26 A 35;0
728667;-51,22146177;-30,0342068;09/04/2023;18:50:00;TUN NS DA CONCEICAO-AC AV OSVALDO ARANHA;;;CENTRO;COLISÃO;MOTOCICLETA;DOMINGO;NOITE;CONDUTOR;MASCULINO;24;18 A 25;0
729718;-51,18334207;-30,01361072;03/05/2023;09:43:00;R PORTUGAL;;557;LESTE;QUEDA;MOTOCICLETA;QUARTA-FEIRA;MANHÃ;CONDUTOR;MASCULINO;37;36 A 45;0
697597;-51,20005507;-30,03934476;07/07/2022;19:20:00;AV PROTASIO ALVES;;825;LESTE;ATROPELAMENTO;;QUINTA-FEIRA;NOITE;PEDESTRE;FEMININO;63;60 +;0
655159;-51,16554208;-29,98614571;13/12/2018;17:30:00;AV INDUSTRIAS;;915;NORTE;ABALROAMENTO;MOTOCICLETA;QUINTA-FEIRA;TARDE;CONDUTOR;MASCULINO;27;26 A 35;0
677776;-51,1822919;-30,16558977;18/12/2020;22:00:00;AV JUCA BATISTA;;5775;SUL;COLISÃO;MOTOCICLETA;SEXTA-FEIRA;NOITE;CONDUTOR;MASCULINO;26;26 A 35;0
646519;-51,167371;-30,055508;11/04/2018;09:05:00;AV IPIRANGA;;7120;LESTE;COLISÃO;AUTOMÓVEL;QUARTA-FEIRA;MANHÃ;OCUPANTE;MASCULINO;43;36 A 45;0
646118;-51,231311;-30,043254;24/03/2018;15:00:00;AV EDVALDO PEREIRA PAIVA;;1500;CENTRO;COLISÃO;AUTOMÓVEL;SÁBADO;TARDE;CONDUTOR;FEMININO;38;36 A 45;0
684891;-51,22446151;-30,07824017;27/07/2021;11:30:00;R CRUZEIRO DO SUL;;1830;SUL;NAO CADASTRADO;MOTOCICLETA;TERÇA-FEIRA;MANHÃ;CONDUTOR;MASCULINO;34;26 A 35;0
727704;-51,1771001;-30,11862609;19/03/2023;14:20:00;ESTR COSTA GAMA;;600;SUL;COLISÃO;MOTOCICLETA;DOMINGO;TARDE;CONDUTOR;FEMININO;;NI;0
648285;-51,152974;-30,01267;11/05/2018;15:45:00;AV DO FORTE;;240;NORTE;COLISÃO;MOTOCICLETA;SEXTA-FEIRA;TARDE;CONDUTOR;MASCULINO;23;18 A 25;0
647607;-51,148264;-30,10296;10/05/2018;22:09:00;ESTR AFONSO LOURENCO MARIANTE;;4000;SUL;COLISÃO;AUTOMÓVEL;QUINTA-FEIRA;NOITE;CONDUTOR;MASCULINO;38;36 A 45;0
696651;-51,13827904;-30,01903997;13/06/2022;02:00:00;AV ALEXANDRE LUIZ;;248;NORTE;CHOQUE;AUTOMÓVEL;SEGUNDA-FEIRA;MADRUGADA;OCUPANTE;FEMININO;28;26 A 35;0
